Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
172791,615126790,G,10.7199,-0.762046,6.555,8.4473,6.59915,1.06623,1.68653,1,G,20.8228,2.61976,13.7528,15.4134,14.0001,0.950985,1.38256,-1
172791,616076423,G,33.2553,-0.699721,-12.2919,30.8922,12.3118,1.65063,-1.62766,-1,G,49.8532,-4.74401,-18.9967,45.8471,19.5801,1.58671,-1.81552,1
172791,615226666,G,19.2517,-7.37613,2.23158,-17.6417,7.70631,-1.56599,2.84781,-1,G,16.2387,-5.46243,4.62334,-14.5764,7.15636,-1.45999,2.4392,1
172791,615937098,G,19.0357,-3.68916,0.947774,18.6504,3.80896,2.29193,2.89012,1,G,15.8335,-4.04033,3.24425,14.9613,5.18164,1.78221,2.46504,-1
172791,616168938,G,10.9962,-3.83817,-8.17054,6.27827,9.02714,0.648967,-2.00996,1,G,16.3444,-3.6813,-14.281,7.04486,14.7478,0.461167,-1.82308,-1
172791,615584820,G,6.85011,-1.78209,-4.33253,4.99662,4.68473,0.927675,-1.96103,-1,G,5.73934,-0.290008,-4.79885,3.13302,4.8076,0.612633,-1.63116,1
172791,615782748,G,11.3669,-0.10371,-9.64744,-6.00923,9.64799,-0.588317,-1.58155,1,G,15.7755,-3.60793,-13.558,-7.21232,14.0299,-0.493761,-1.83088,-1
172791,616122476,G,11.1068,-2.26805,-0.805394,-10.8424,2.4068,-2.21041,-2.80038,-1,G,7.08068,-0.537769,3.08046,-6.35188,3.12705,-1.45753,1.74363,-1
172791,616183308,G,29.3243,-2.5294,17.2906,23.5487,17.4747,1.10714,1.71605,-1,G,12.0161,-1.85431,8.08114,8.69668,8.29116,0.915539,1.79635,1
172791,616048950,G,13.9751,-7.43021,-3.14277,-11.4109,8.06753,-1.14633,-2.74144,-1,G,21.6923,-13.3519,-1.61122,-17.0199,13.4487,-1.05727,-3.0215,1
172791,615589065,G,14.8182,14.2989,-3.76878,-0.951126,14.7873,-0.0642763,-0.25771,1,T,4.51883,4.40734,0.54181,0.830906,4.44052,0.186044,0.12232,1
